fold,m,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,overall_auc_queries_used,cold_auc,cold_auc_queries_used,overall_ndcg@1,overall_map@1,cold_ndcg@1,cold_map@1,overall_ndcg@3,overall_map@3,cold_ndcg@3,cold_map@3,overall_ndcg@5,overall_map@5,cold_ndcg@5,cold_map@5,overall_ndcg@10,overall_map@10,cold_ndcg@10,cold_map@10
3,1000,3,13003,4754.9040859639645,1459.8373287916183,1613.2365074157715,0.7922797645950106,0.7790871121531862,0.7705354601773642,1236.0,0.7466162994254941,1103.0,0.44375714285714646,0.233,0.38437313895043007,0.14507253626813407,0.4382083142115203,0.2746666666666666,0.3956008983272433,0.18751042187760547,0.4441478601080609,0.2761541666666667,0.411609809064133,0.1947668278583736,0.4655416225243182,0.2643129614669942,0.4398838396301133,0.19060611536871988
3,1000,4,13004,4623.034681707621,1475.557640939951,1462.8200175464153,0.7938514446969255,0.7814274144691624,0.7687284147901171,1236.0,0.7462319677689048,1103.0,0.44275714285714657,0.2365,0.3756687867743423,0.14007003501750875,0.4320575749529264,0.2785833333333333,0.39175821732391436,0.18459229614807404,0.4403911646822424,0.2786270833333333,0.40659901649291474,0.19035906842310044,0.4669941381965659,0.2640448878810783,0.43787202383973767,0.1879730023111833
4,1000,0,14000,4633.127085506916,1297.1476291716099,1381.9329742193222,0.7895548940127833,0.7738383002196996,0.7678924846342122,1276.0,0.7433212140651886,1128.0,0.45658095238095653,0.244,0.4027156435360569,0.1615807903951976,0.45027172692802475,0.2886666666666666,0.41259924087831096,0.20226780056695012,0.4549892052477298,0.2886305555555556,0.42327238621609486,0.209176810627536,0.47457944683716674,0.2774791071428571,0.44842923897104936,0.2061675479809696
4,1000,1,14001,4772.837531745434,1368.4887737631798,1599.3001810610294,0.7875163310148006,0.7726606208895136,0.7678055329269143,1276.0,0.7462908371962182,1128.0,0.45742380952381356,0.2475,0.39539293456252267,0.15557778889444723,0.4491050189177345,0.2932916666666666,0.40923364347860247,0.2001417375354344,0.4543668614742485,0.2928555555555555,0.4229906862639468,0.20637679951086654,0.4722660192697973,0.2781566689499874,0.4475966513423138,0.2024741216035077
4,1000,2,14002,4891.287265121937,1502.1932718753815,1596.4652038812637,0.7885876791342832,0.7738169806292041,0.7677864666474291,1276.0,0.7441720154142059,1128.0,0.44827619047619444,0.24,0.4015483932442444,0.1570785392696348,0.44534977746129206,0.2887916666666666,0.4104703834735352,0.20051692512923128,0.45338015612112303,0.28935833333333333,0.4223033774241405,0.20698404757934527,0.47234455892470145,0.27600984079743013,0.44928628060358367,0.2043815260805006
4,1000,3,14003,4772.601040780544,1563.5532735288143,1692.6248306334019,0.7868966860263623,0.7724770376735779,0.7660357082200213,1276.0,0.7436614317092851,1128.0,0.4566761904761945,0.2465,0.4022820934276693,0.15657828914457228,0.45200782518045923,0.2945833333333333,0.41272779792381425,0.2010588627647157,0.45534144208045224,0.29539166666666666,0.42371241049258,0.20753154354955253,0.47384354265529405,0.2796246127802973,0.44968512096536867,0.20315782340023628
4,1000,4,14004,4926.982169568539,1452.38308390975,1701.7704853713512,0.7881520769246315,0.7732057932750387,0.7671952361027485,1276.0,0.7446899551034607,1128.0,0.4544476190476229,0.245,0.3974320493580154,0.15607803901950976,0.44749787749702624,0.29266666666666663,0.41170913835055717,0.2006419876604969,0.4536099008863123,0.29064305555555553,0.42191307722508586,0.2072022122172197,0.47255727921725665,0.27722999779541446,0.4480688728377817,0.20544496927224004
5,1000,0,15000,4597.3079088926315,1484.9838970005512,1504.8459168374538,0.7860657666725203,0.7720382993446631,0.7709896034316664,1306.0,0.7507321514864702,1146.0,0.46171904761905114,0.257,0.41250476190476526,0.1715,0.4538483212757009,0.306,0.4183886761122511,0.215875,0.4589917185208031,0.3076027777777778,0.429390220516986,0.21950069444444442,0.47728582020693683,0.2937224421296296,0.4542451259941667,0.21566649281934996
5,1000,1,15001,4484.988173186779,1548.570311576128,1594.6457467973232,0.7866868993274203,0.7726174345236101,0.7719107737028997,1306.0,0.7490309141293443,1146.0,0.45032857142857546,0.2535,0.4033095238095274,0.1695,0.4515216975330569,0.304875,0.42000703969744746,0.218625,0.4586210097977855,0.30489375,0.4313147939204522,0.2217076388888889,0.47986059179060414,0.2904193146888385,0.45557874013871247,0.2158037887377173
5,1000,2,15002,4517.978091686964,1451.08507168293,1422.7800879180431,0.7863073484723299,0.7720223267432353,0.7715048808506352,1306.0,0.7502899271105984,1146.0,0.4616523809523845,0.26,0.41319523809524134,0.172,0.44815912867196256,0.30666666666666664,0.4143566829860028,0.2135,0.45487467267821574,0.3071513888888888,0.4290126419881479,0.21689791666666666,0.4770035779388325,0.2918293636621315,0.45452689162569476,0.2135285364701436
