fold,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,cold_auc,overall_auc_queries_used,cold_auc_queries_used,overall_ndcg@1,cold_ndcg@1,warm_ndcg@1,overall_map@1,cold_map@1,overall_ndcg@3,cold_ndcg@3,warm_ndcg@3,overall_map@3,cold_map@3,overall_ndcg@5,cold_ndcg@5,warm_ndcg@5,overall_map@5,cold_map@5,overall_ndcg@10,cold_ndcg@10,warm_ndcg@10,overall_map@10,cold_map@10
3,1,30001,0.0,0.0,0.0,0.781676616144696,0.7763150963876156,0.7588346087195315,0.7435380404637683,1236.0,1103.0,0.4141476190476229,0.38823697563067516,0.4758163265306154,0.2045,0.14357178589294647,0.4156540703044305,0.39796206585063365,0.49340965390448865,0.2504166666666666,0.18625979656494912,0.4253802533171605,0.4135053563126186,0.5181082218784054,0.25377916666666667,0.19393794119281862,0.44858317054221575,0.4405918489649656,0.5614862749257538,0.243055973718191,0.18983663238144646
3,2,30002,0.0,0.0,0.0,0.7827649153256306,0.7778985279974077,0.7573831404515908,0.7430659991271148,1236.0,1103.0,0.4172571428571464,0.38120488815836784,0.46802235179786483,0.207,0.13656828414207103,0.416131862285543,0.3959538849363379,0.49191434754276103,0.2513333333333333,0.18371685842921462,0.4257594409723398,0.41033354843895153,0.5174550941093681,0.2565076388888889,0.1911059696514924,0.44717934566020495,0.4387657213926734,0.5599252460599583,0.2455352514014865,0.18728349947523526
3,3,30003,0.0,0.0,0.0,0.7853531166222413,0.7804076093816734,0.7625816535500041,0.7456389932405847,1236.0,1103.0,0.4217666666666702,0.39188165511327344,0.47359086491739877,0.205,0.1425712856428214,0.4153510727393302,0.3977243218118046,0.4967383539074393,0.251625,0.1872602968150742,0.4245025404850379,0.4111875688272754,0.520468778600774,0.25571736111111115,0.19380384636762826,0.44763264937409153,0.44000132517153195,0.5622280398482458,0.2446350392888637,0.19042740474545664
3,4,30004,0.0,0.0,0.0,0.786161105377977,0.7815278183142278,0.7626405359287579,0.7463182406498351,1236.0,1103.0,0.4113190476190511,0.380623645155914,0.4635471331389729,0.2,0.13806903451725863,0.41078362179821837,0.3951077623439023,0.49198728415959814,0.24775,0.18384192096048024,0.42213300112800334,0.409954692813959,0.5170338433161051,0.25002291666666665,0.1906251736979601,0.44442516333610244,0.43743499465996877,0.5589643967494902,0.24242933043587805,0.1882497247458448
4,0,40000,0.0,0.0,0.0,0.7771249991981487,0.7688630027651132,0.7563294991928663,0.7436022467772698,1276.0,1128.0,0.4293523809523844,0.4046165940112945,0.47103113646892664,0.2245,0.16008004002001,0.42406132790570905,0.41009487950199264,0.49388734355771385,0.273,0.20410205102551277,0.42906767313914873,0.4178113290151507,0.5165095852362928,0.27143333333333336,0.20541173364460008,0.4505216312076308,0.4442924435620697,0.5645599502388947,0.2584832433390023,0.20199558049369862
4,1,40001,0.0,0.0,0.0,0.7784769454212987,0.770708041581727,0.7550116455637105,0.7395946208324562,1276.0,1128.0,0.4190000000000032,0.3999952357130978,0.46898788189110996,0.217,0.15157578789394696,0.42354531083501923,0.4100758786664056,0.48846911791680275,0.26779166666666665,0.1998916124729031,0.42980035652815074,0.4200019751211898,0.5151377399979158,0.27141249999999995,0.20558334722917013,0.4514162483961707,0.44515281445583454,0.5610488294180279,0.26116284234063997,0.20297984868914679
4,2,40002,0.0,0.0,0.0,0.7774634299493658,0.7692763984430067,0.7546337607057501,0.7400617134013672,1276.0,1128.0,0.42383333333333656,0.3989518568808247,0.4670080218467341,0.221,0.1535767883941971,0.4269241072104673,0.4096143457424869,0.49176642551376853,0.27075,0.1998916124729031,0.43235741675591427,0.4186703033068636,0.5168226365832246,0.2720006944444444,0.2049024512256128,0.45184471036454,0.44551185348364497,0.5614722793617698,0.26020320145187703,0.20048159047399738
4,3,40003,0.0,0.0,0.0,0.7773921174933083,0.7702952551729904,0.754350866346717,0.7407474959362815,1276.0,1128.0,0.4321904761904798,0.4057076157126215,0.46393582522614996,0.2295,0.15907953976988495,0.4262224709816833,0.4098643761139084,0.4892196069324688,0.278125,0.204018676004669,0.4317132424301281,0.4192817268513532,0.5164329478926425,0.27822152777777776,0.2087564615641154,0.45289104540535696,0.44545599139278474,0.5616568498680079,0.26585642896510453,0.20613231691431505
4,4,40004,0.0,0.0,0.0,0.7781950778367592,0.7710997071196933,0.756315545572491,0.7419216294711384,1276.0,1128.0,0.4223380952380984,0.39708902070082963,0.4712603320898276,0.2185,0.15257628814407204,0.42332342571714177,0.41109902640443025,0.49440969587311046,0.2686666666666666,0.1983908620977155,0.4324000382639575,0.42047429377495654,0.516291581475471,0.2695638888888889,0.20449530320715914,0.4523063919471231,0.4454976765752539,0.5627258370671261,0.2599442699672462,0.20157699613853286
5,0,50000,0.0,0.0,0.0,0.7740801304038466,0.7689026576193252,0.7562209360013433,0.7476594062143985,1306.0,1146.0,0.4299333333333373,0.3982619047619079,0.47141638017214305,0.2325,0.1615,0.42575491548295563,0.4119936461167607,0.4983125906062007,0.28354166666666664,0.21141666666666667,0.43730749230622307,0.42809623497164023,0.5252520280195987,0.2859513888888889,0.21767569444444443,0.45825036909621325,0.45333885478149255,0.5679466953455062,0.2747176583364827,0.21221522534013604
5,1,50001,0.0,0.0,0.0,0.7727439324981926,0.7666865351351022,0.756630577275053,0.7485012700046795,1306.0,1146.0,0.4313047619047653,0.41471904761905115,0.46467217711457565,0.2315,0.174,0.43209373474401025,0.416867794953694,0.4985695730444355,0.2815833333333333,0.2152083333333333,0.4374832961983164,0.42898140176186467,0.5246391936023836,0.2856777777777778,0.22047083333333334,0.4599827981616736,0.45453620607824213,0.5690945170794564,0.27584263440098267,0.21627619661753592
5,2,50002,0.0,0.0,0.0,0.7733487290179195,0.7692688502776011,0.7550462313181115,0.7461981489688572,1306.0,1146.0,0.43269047619047984,0.40444285714286016,0.46646673006120276,0.2315,0.1705,0.4263663832898776,0.4134483851802466,0.4929904405559762,0.2826666666666666,0.214875,0.4374891712727836,0.426640178573879,0.522372436805866,0.28429583333333336,0.21979583333333333,0.4576390401170916,0.4507802243227937,0.5661967218791922,0.27284959262408665,0.21397626228269084
